AÑO;MES;PROVINCIA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2022;8;Málaga;Asia;Emiratos Árabes Unidos;2075,0;18675,0;9,0
2022;8;Málaga;Asia;Filipinas;593,0;4981,0;8,4
2022;8;Málaga;Asia;India;400,0;2640,0;6,6
2022;8;Málaga;Asia;Indonesia;195,0;1853,0;9,5
2022;8;Málaga;Asia;Irán;262,0;2725,0;10,4
2022;8;Málaga;Asia;Israel;506,0;4605,0;9,1
2022;8;Málaga;Asia;Japón;223,0;2408,0;10,8
2022;8;Málaga;Asia;Jordania;96,0;960,0;10,0
2022;8;Málaga;Asia;Kazajstán;120,0;1200,0;10,0
2022;8;Málaga;Asia;Kuwait;3367,0;46465,0;13,8
2022;8;Málaga;Asia;Líbano;156,0;1498,0;9,6
2022;8;Málaga;Asia;Malasia;45,0;293,0;6,5
2022;8;Málaga;Asia;Omán;83,0;1145,0;13,8
2022;8;Málaga;Asia;Pakistán;54,0;367,0;6,8
2022;8;Málaga;Asia;Qatar;602,0;6321,0;10,5
2022;8;Málaga;Asia;Singapur;158,0;1864,0;11,8
2022;8;Málaga;Asia;Tailandia;209,0;899,0;4,3
2022;8;Málaga;Asia;Vietnam;55,0;380,0;6,9
2022;8;Málaga;Europa;Albania;105,0;840,0;8,0
